,weekly_simple_returns,cumulative_returns
2017-07-01,,1.0
2017-07-08,0.06586744849213087,1.0658674484921309
2017-07-15,-0.2812447598710093,0.7660978138866362
2017-07-22,0.3263676109034586,1.01612732712318
2017-07-29,-0.0749115294364197,0.9400076749462416
2017-08-05,0.1622246442742004,1.0925000856294138
2017-08-12,0.08154843446848797,1.1815917572691816
2017-08-19,0.01490254850969755,1.1992004857505445
2017-08-26,0.22633834740756384,1.4706255419056704
2017-09-02,0.0878931097346939,1.5998833940390293
2017-09-09,-0.10158115182489479,1.4373653960870227
2017-09-16,-0.16393032030496094,1.20173762631121
2017-09-23,0.0555307487962744,1.2684710165569288
2017-09-30,0.06285354619994635,1.3481989181993828
2017-10-07,0.014923145413351808,1.3683182867017958
2017-10-14,0.11029102015197231,1.5192315064347357
2017-10-21,-0.06352675610551832,1.422719657057637
2017-10-28,-0.03776632840260538,1.3689887592643561
2017-11-04,0.025547674556288986,1.4039632385572598
2017-11-11,0.09517391249228367,1.5375839129660915
2017-11-18,0.1289284259459622,1.735822186624643
2017-11-25,0.22477082445542096,2.1259843706202757
2017-12-02,0.14466139707102504,2.433532239825369
2017-12-09,0.209733375212662,2.943925170172773
2017-12-16,0.6281710313872682,4.793213680647143
2017-12-23,0.12639190016453639,5.399037065638787
2017-12-30,0.04112265755544511,5.621059818018206
2018-01-06,0.39775229102616716,7.856849238630078
2018-01-13,-0.07377322336227518,7.277224144824899
2018-01-20,-0.149738763101138,6.187541602569082
2018-01-27,-0.08527834449137843,5.659878298230461
2018-02-03,-0.18263961110834645,4.626160326921079
2018-02-10,-0.01857679873728738,4.5402210776014424
2018-02-17,0.17200221303054253,5.321149150596805
2018-02-24,-0.13277063354593693,4.614656806679644
2018-03-03,0.03175622241356086,4.761200874594815
2018-03-10,-0.14443239218328655,4.073529242611929
2018-03-17,-0.14612623939886135,3.478279733307756
2018-03-24,0.04145821465302018,3.622483001114479
2018-03-31,-0.16198332392786943,3.0357011637217517
2018-04-07,-0.00919030855646854,3.0078021333419183
2018-04-14,0.17345527289735535,3.529521273201988
2018-04-21,0.197424730540114,4.2263360594994905
2018-04-28,0.0498088050055608,4.436844808175071
2018-05-05,0.052279986844936774,4.6688029963794895
2018-05-12,-0.14044255231500327,4.013104387312019
2018-05-19,-0.03108947595113223,3.888339074973299
2018-05-26,-0.09859004631994242,3.5049875454640396
2018-06-02,0.021502874979116293,3.580354854457512
2018-06-09,-0.015032741997521705,3.526532303670878
2018-06-16,-0.13044517312530657,3.0665131867865445
2018-06-23,-0.07628519635681212,2.8325836262017794
2018-06-30,-0.007959929846256623,2.810036459253558
