,c10_cum,c10t_cum
2017-07-01,,
2017-08-01,-0.019683502816465914,-0.021196157653907033
2017-09-01,0.8660200650237138,0.857688465578529
2017-10-01,-0.23826507975391123,-0.18993651498703915
2017-11-01,-0.004808402867555318,-0.0020681492788125746
2017-12-01,0.8876041621815096,0.8375791691639698
2018-01-01,1.9112517760168282,1.7489265985126494
2018-02-01,-0.29409585395069915,-0.10723779359502508
2018-03-01,0.011298616630296486,-0.018750576383618007
2018-04-01,-0.4431337996524129,-0.29023709629315336
2018-05-01,0.5737819665606371,0.4379620562389805
2018-06-01,-0.24304405190220726,-0.19237037651310204
2018-07-01,-0.23985839398055278,-0.13668524638075827
