,weekly_simple_returns,cumulative_returns
2017-07-01,,1.0
2017-07-08,0.07038033793805312,1.0703803379380532
2017-07-15,-0.288463217191953,0.7616149820374325
2017-07-22,0.34390274831943024,1.0235364675213592
2017-07-29,-0.08126455142128858,0.9403592356249055
2017-08-05,0.1706732702761821,1.1008534216034191
2017-08-12,0.08802353612295641,1.1977544325260079
2017-08-19,0.015686893168102695,1.2165434783506648
2017-08-26,0.244776699900069,1.5143249762662914
2017-09-02,0.09140903526386945,1.6527479614227751
2017-09-09,-0.10822763631308178,1.4738749561367237
2017-09-16,-0.1725582318999589,1.2195456996641412
2017-09-23,0.06003324194191826,1.2927589817113045
2017-09-30,0.06634646968415406,1.3785289763003314
2017-10-07,0.015232918858888955,1.3995279963409415
2017-10-14,0.11029102015197231,1.5538833667886296
2017-10-21,-0.06516311099811241,1.4526274924804614
2017-10-28,-0.039754029897479344,1.3948796957144927
2017-11-04,0.02620274313465537,1.4314293700850458
2017-11-11,0.09965674999187757,1.5740809689506419
2017-11-18,0.14018486508474373,1.7947432972154502
2017-11-25,0.23607455205833783,2.218436517165292
2017-12-02,0.1572212588083867,2.5672218989805127
2017-12-09,0.23077563444155944,3.1596741614700057
2017-12-16,0.7193103103809675,5.432460363259719
2017-12-23,0.1360350045832583,6.171465133674125
2017-12-30,0.051078955573569944,6.486697127060902
2018-01-06,0.46967397560171914,9.533329955251846
2018-01-13,-0.08289782811417024,8.743037607265707
2018-01-20,-0.1761632507072212,7.202835681314295
2018-01-27,-0.10195178120167082,6.4684937539013525
2018-02-03,-0.21605598748611482,5.07093694835443
2018-02-10,-0.022517331802772576,4.956752978537394
2018-02-17,0.2150027662881782,6.0224685807301
2018-02-24,-0.1713169465108863,4.990717653021668
2018-03-03,0.03969527801695108,5.1888255777624686
2018-03-10,-0.17719077840398367,4.269413534636237
2018-03-17,-0.1801825517238242,3.500139709601248
2018-03-24,0.0481311692763881,3.6686055264550737
2018-03-31,-0.20000390738508436,2.9348700865095445
2018-04-07,-0.01106425279571944,2.902397941949808
2018-04-14,0.20404348985910034,3.4946133469851173
2018-04-21,0.2394622561717837,4.331441343502202
2018-04-28,0.06218067705235528,4.600773298853731
2018-05-05,0.06834441116721315,4.915210440877726
2018-05-12,-0.17648565543384306,4.047746304624152
2018-05-19,-0.040115452840170616,3.8853691286320267
2018-05-26,-0.12321005789992802,3.406652573330682
2018-06-02,0.027413330209194016,3.5000402652313967
2018-06-09,-0.022935241206603882,3.419765997515489
2018-06-16,-0.1560151513430059,2.886230687855444
2018-06-23,-0.08974728983154366,2.6271993057917857
2018-06-30,-0.009477005874250448,2.6023013225379703
